"","Buffer1","Buffer2","Buffer3"
"1",30.25,21.96,20.91
"2",39.41,38.26,39.52
"3",35.66,18.39,20.31
"4",55.25,39.17,38.93
"5",20.09,21.27,21.95
"6",39.2,29.77,27.22
"7",13.25,9.37,13.31
"8",28.94,34.72,29.15
"9",24.02,12.31,10.27
"10",56.69,46.78,40.76
"11",21.27,20.45,20.39
"12",14.88,15.78,17.31
"13",28.95,23.88,22.29
"14",20.06,16.35,13.82
"15",41.64,50.47,58.39
"16",43.35,42.23,35.53
"17",51.02,39.27,39.67
"18",40.01,37.46,37.13
"19",40.4,24.82,22.75
"20",35.69,37.78,37.72
"21",14.98,14.47,12.73
"22",14.68,9.8,10.93
"23",33.43,30.29,28.74
"24",14.64,18.46,19.47
"25",9.52,6,6.58
"26",7.46,10.72,13.28
"27",8.67,10.48,9.54
"28",12.75,10.19,10.81
"29",41.42,35.36,28.66
"30",16.92,12.7,11.25
"31",11.53,7.63,8.62
"32",58.07,39.03,34.94
"33",24.26,23.15,23.35
"34",12.21,9.05,12.62
"35",86.06,61.86,43.95
"36",20.53,19.08,20.86
"37",35.3,45.68,49.1
"38",39.91,40.31,38.93
"39",39.98,38.36,42.67
"40",42.18,36.51,35.8
"41",78.25,88.73,90.82
"42",76.06,79.26,78.8
"43",86.03,90.02,91.19
"44",22.69,26.7,32.54
"45",57.83,61.92,52.56
"46",24.23,17.89,16.08
"47",99.29,98.41,97.83
"48",22.61,28.35,25.55
"49",17.7,14.02,11.83
"50",60.25,62.05,60.62
"51",28.18,27.41,22.79
"52",11.31,12.91,14.53
"53",10.1,5.99,6.32
"54",50.59,56.06,57.17
"55",28.49,20.2,20.24
"56",11.85,18.73,18.65
"57",27.14,25.06,34.4
"58",29.77,31.52,34
"59",77.96,77.04,73.45
"60",51.47,55.39,62.44
"61",61.51,58.77,54.65
"62",45.39,53.17,54.01
"63",43.55,46.13,40.62
"64",58.54,56.39,45.98
"65",15.14,14.2,15.27
"66",5.34,7.36,11.9
"67",20.12,22.93,23.56
"68",37.8,38.3,48.95
"69",44.38,58.74,62.33
"70",13.85,18.14,15.36
"71",25.76,31.79,37.83
"72",23.86,32.36,40.4
"73",74.86,64.58,59.9
"74",61.17,62.83,70.3
"75",66.14,50.67,51.57
"76",99.05,97.41,95.93
"77",86.78,81.94,80.35
"78",44.69,42.78,51.02
"79",49.86,47.46,47.28
"80",38.49,43.94,45.49
"81",29.35,15.73,14.04
"82",68.62,63.04,53.35
"83",44.14,46.28,42.65
"84",83.91,81.41,78.55
"85",77.12,77.19,71.04
"86",77.98,83.35,84.4
"87",47.18,58.31,61.6
"88",60.83,53.22,52.18
"89",23.4,18.3,17.57
"90",65.38,65.73,59.36
"91",45.36,50.31,47.15
"92",34.59,37.62,31.52
"93",26.22,20.76,20.33
"94",54.75,38.19,32.03
"95",51.54,58.17,52.35
"96",18.31,16.19,15.07
"97",16.27,24.45,19.75
"98",68.76,58.44,59.93
"99",8.44,7.13,6.5
"100",44,41.91,39.84
"101",75.33,51.5,40.42
"102",42.1,22.17,13.89
"103",13.17,16.02,15.86
