SD_code,Description,Code_group,Score
1,Site No.,,
2,Plot No. 1-16,,
3,Recorder,,
4,Date,,
5,Plnted.hard,,
6,Plnted.con.,,
7,Pollards,,
8,Cop. stool,,
9,Singled cop.,,
10,Rec.cut cop.,wm,
11,Mature con.,,
12,Stump hard.new,wm,
13,Stump hard.old,,
14,Stump con.new,wm,
15,Stump con.old,,
16,Stump ovgwn.,,
17,Brash/pruning,,
18,Brash heaps,,
19,Cord wood,,
20,Cop.sticks,,
21,Stack timber,wm,
22,Felled trees,wm,
23,Chips/sawdust,wm,
24,Fire sites,wm,
25,Pnt/blaze mks.,,
26,Extrn. routes,wm,
27,Vehicle tracks,wm,
28,None,,
29,Alder,r,
30,Ash,r,
31,Aspen,r,
32,Beech,r,
33,Birch,r,
34,Hawthorn,r,
35,Hazel,r,
36,Holly,r,
37,Hornbeam,r,
38,Lime,r,
39,Oak,r,
40,Rowan,r,
41,Rhododendron,r,
42,Sweet Chestnut,r,
43,Sycamore,r,
44,Wych Elm,r,
45,Other hard,r,
46,Scots pine,r,
47,Yew,r,
48,Other con.,,
49,Live/dead,,
50,Stnd.dead <10cm,,
51,Stnd.dead>10cm,,
52,Fallen brkn,,
53,Fallen uprtd.,,
54,Log.v rotten,,
55,Fall bnb.>10cm,,
56,Hollow trees,,
57,Rot holes,,
58,Stump <10cm,,
59,Stump >10cm,,
60,None,,
61,Bryo.base,,
62,Bryo.trunk,,
63,Bryo.branch,,
64,Lichen trunk,,
65,Lichen branch,,
66,Fern,,
67,Mistletoe,,
68,Clematis,,
69,Ivy,,
70,Honeysuckle,,
71,Macrofungi,,
72,None,,
73,Stones,,
74,Rocks 5-50cm,,
75,Boulders >50cm,,
76,Scree,,
77,Rock outop.<5m,,
78,Cliff >5m,,
79,Rock ledge,,
80,Bryo.covd.rock,,
81,Gully,,
82,Rock piles,,
83,Exp.grav/sand,,
84,Exp.min.soil,,
85,Sml.pool <1m2,,
86,Pond 1-20m2,,
87,Pond/lake>20m2,,
88,Strm.slow <1m,,
89,Strm.fast <1m,,
90,Riv.slow 1-5m,,
91,Riv.fast 1-5m,,
92,Riv.slow >5m,,
93,Riv.fast >5m,,
94,Bottom rock,,
95,Bottom gravel,,
96,Bottom sand,,
97,Bottom mud,,
98,Bottom peat,,
99,Aquatic veg.,,
100,Spring,,
101,Marsh/bog,,
102,Dtch/drain dry,,
103,Dtch/drain wet,,
104,None,,
105,Gld.5-12m grs,o,1
106,Gld.>12m grs,o,5
107,Gld.3-12m mxd.,o,1
108,"""Gld.>12",o,5
109,Gld.5-12m bgy,o,1
110,Gld.>12m bgy,o,5
111,Rky.knoll <12m,o,1
112,Rky.knoll >12m,o,5
113,Field,o,5
114,Path 1-5m,o,1
115,Ride >5m,o,5
116,Track non-prep.,o,1
117,Track metalled,,
118,Road tarmac,,
119,None,,
120,None,,
121,House occ.,,
122,House unocc.,,
123,Farm occ.,,
124,Farm unocc.,,
125,Agri.bldg.,,
126,Other bldg.,,
127,Ruined bldg.,,
128,Sheep pen/enc.,,
129,Wall dry,,
130,Wall mortared,,
131,Wall ruined,,
132,Embankment,,
133,Soil excav.,,
134,Quarry/mine,,
135,Rubbish dom.,,
136,Rubbish other,,
137,Alder grove,,
138,Hazel grove,,
139,Willow grove,,
140,Con.grove,,
141,Blkthorn.thkt,,
142,Hawthorn thkt.,,
143,Rhodo.thkt.,,
144,Bramble clump,,
145,Nettle clump,,
146,Rose clump,,
147,W.herb clump,,
148,Umbel.clump,,
149,Bracken dense,,
150,Moss bank,,
151,Fern bank,,
152,Grass bank,,
153,Leaf drift,,
154,Isolated scrub,,
155,Isolated trees,,
156,Herb veg.>1m,,
157,Macrofungi soil,,
158,Macrofungi wood,,
159,None,,
160,None,,
161,Sheep,,
162,Cattle,,
163,Horse/pony,,
164,Pig,,
165,Goat,,
166,Red deer,,
167,Other deer,,
168,Rabbit,,
169,Hare,,
170,Badger,,
171,Fox,,
172,Mole,,
173,Red squirrel,,
174,Grey squirrel,,
175,Anthill,,
176,Corpse/bones,,
177,Rook,,
178,Crow,,
179,Jackdaw,,
180,Magpie,,
181,Jay,,
182,Raven,,
183,Pigeon,,
184,Owl,,
185,Buzzard,,
186,Kestrel,,
187,Other BOP,,
188,Blackbird,,
189,Thrush,,
190,Heron,,
191,Wildfowl,,
192,Robin,,
193,Wren,,
194,Finches,,
195,Tits,,
196,Woodpecker,,
197,Pheasant,,
198,Other game,,
199,Spent ctrdge.,,
200,None,,
201,Woodland hrwd.,l,
202,Woodland mixd.,l,
203,Woodland con.,l,
204,Scrub,l,
205,Orchard,l,
206,Arable,l,
207,Permnt.pasture,l,
208,Rough grazing,l,
209,Heath/moorland,l,
210,Marsh/fen/bog,l,
211,River,l,
212,Lake,l,
213,Road,l,
214,Railway,l,
215,Housing,l,
216,Industrial,l,
217,Quarry/mine,l,
218,Tipping,l,
219,Waste,l,
220,None,,
221,Fence good,,
222,Fence holes,,
223,Fence derelict,,
224,Wall good,,
225,Wall gaps,,
226,Wall derelict,,
227,Post and rail,,
228,Bank,,
229,Ditch,,
230,Bank and ditch,,
231,Water,,
232,Road,,
233,Railway,,
234,Hedge thin,,
235,Hedge thick,,
236,Merging direct,,
237,Cracking,,
238,Pleasant,,
239,OK,,
240,Nasty,,
241,Nightmare,,
242,Approx.time taken to survey =         hours,,
