"","Year","Temp"
"1",1901,23.75
"2",1902,24.6666666666667
"3",1903,24.7166666666667
"4",1904,24.5166666666667
"5",1905,24.8833333333333
"6",1906,24.6333333333333
"7",1907,25.2416666666667
"8",1908,24.9
"9",1909,24.7666666666667
"10",1910,24.025
"11",1911,25.2833333333333
"12",1912,25.2083333333333
"13",1913,25.1916666666667
"14",1914,24.7
"15",1915,24.5666666666667
"16",1916,24.8333333333333
"17",1917,24.6416666666667
"18",1918,25.2416666666667
"19",1919,25.175
"20",1920,24.7833333333333
"21",1921,25.4
"22",1922,25.5583333333333
"23",1923,25.2166666666667
"24",1924,25.1916666666667
"25",1925,25.4666666666667
"26",1926,25.05
"27",1927,25.6416666666667
"28",1928,24.8333333333333
"29",1929,25.3416666666667
"30",1930,24.8916666666667
"31",1931,24.5583333333333
"32",1932,25.6
"33",1933,25.55
"34",1934,25.2916666666667
"35",1935,25.1166666666667
"36",1936,25.2083333333333
"37",1937,25.2583333333333
"38",1938,25.425
"39",1939,25.4916666666667
"40",1940,24.5666666666667
"41",1941,25.1916666666667
"42",1942,25.1666666666667
"43",1943,25.2166666666667
"44",1944,25.425
"45",1945,25.4833333333333
"46",1946,26.0083333333333
"47",1947,25.65
"48",1948,26.2833333333333
"49",1949,25.8166666666667
"50",1950,25.6
"51",1951,25.6333333333333
"52",1952,25.4833333333333
"53",1953,25.6166666666667
"54",1954,25.1833333333333
"55",1955,25.4
"56",1956,25.6416666666667
"57",1957,26.0333333333333
"58",1958,24.7083333333333
"59",1959,25.4833333333333
"60",1960,24.9916666666667
"61",1961,25.5
"62",1962,25.2166666666667
"63",1963,25.125
"64",1964,25.5916666666667
"65",1965,26.2583333333333
"66",1966,24.625
"67",1967,26.2166666666667
"68",1968,24.9333333333333
"69",1969,24.9666666666667
"70",1970,24.8083333333333
"71",1971,25.625
"72",1972,26.0416666666667
"73",1973,25.425
"74",1974,25.9
"75",1975,26.275
"76",1976,25.275
"77",1977,24.9166666666667
"78",1978,25.3083333333333
"79",1979,25.75
"80",1980,25.5333333333333
"81",1981,25.0333333333333
"82",1982,26.0916666666667
"83",1983,24.7833333333333
"84",1984,25.15
"85",1985,25.5416666666667
"86",1986,25.675
"87",1987,25.2583333333333
"88",1988,25.2
"89",1989,25.9
"90",1990,26.2916666666667
"91",1991,26.35
"92",1992,25.5416666666667
"93",1993,25.675
"94",1994,26.1333333333333
"95",1995,25.6583333333333
"96",1996,25
"97",1997,25.8166666666667
"98",1998,25.7833333333333
"99",1999,25.5333333333333
"100",2000,25.3666666666667
